generator,behavioral_momentum,energy_budget,energy_budget_threshold,energy_budget_zscore,kinetic,melioration,mvt,mvt_fitted_rho,q_condition_aware,q_dual_alpha,q_dynamic_alpha,q_forgetting,q_learning,q_table_operant,q_table_operant_budget,ratio_invariance
behavioral_momentum,17,14,5,19,3,2,9,14,0,4,0,2,5,3,2,1
energy_budget,1,49,3,18,3,0,12,8,0,1,0,0,0,2,1,2
energy_budget_threshold,2,16,38,6,1,1,11,11,1,2,0,0,0,3,1,7
energy_budget_zscore,0,0,23,3,2,6,0,6,1,12,0,0,9,0,0,38
kinetic,0,19,8,25,12,0,11,9,0,1,0,2,3,4,4,2
melioration,3,17,4,17,5,8,12,8,0,2,0,3,16,3,2,0
mvt,0,0,1,0,0,0,93,4,0,0,0,0,0,0,0,2
mvt_fitted_rho,0,0,2,0,0,0,3,94,0,0,0,0,0,1,0,0
q_condition_aware,5,9,8,9,3,3,10,5,21,7,3,2,9,4,0,2
q_dual_alpha,0,15,5,17,4,9,7,7,2,18,0,3,6,1,3,3
q_dynamic_alpha,1,14,5,15,4,10,12,3,1,5,3,5,8,4,7,3
q_forgetting,0,12,3,16,3,8,10,6,1,2,0,16,14,5,4,0
q_learning,3,15,2,23,1,4,18,7,0,3,1,4,10,5,2,2
q_table_operant,1,18,4,14,2,7,9,12,2,1,0,2,3,22,2,1
q_table_operant_budget,1,16,8,17,3,4,15,3,2,1,0,1,2,7,19,1
ratio_invariance,2,14,10,17,4,0,13,8,4,5,1,0,2,3,2,15
