generator,behavioral_momentum,energy_budget,energy_budget_threshold,energy_budget_zscore,kinetic,melioration,mvt,mvt_fitted_rho,q_condition_aware,q_dual_alpha,q_dynamic_alpha,q_forgetting,q_learning,q_table_operant,q_table_operant_budget,ratio_invariance
behavioral_momentum,17.0,14.000000000000002,5.0,19.0,3.0,2.0,9.0,14.000000000000002,0.0,4.0,0.0,2.0,5.0,3.0,2.0,1.0
energy_budget,1.0,49.0,3.0,18.0,3.0,0.0,12.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0
energy_budget_threshold,2.0,16.0,38.0,6.0,1.0,1.0,11.0,11.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,7.000000000000001
energy_budget_zscore,0.0,0.0,23.0,3.0,2.0,6.0,0.0,6.0,1.0,12.0,0.0,0.0,9.0,0.0,0.0,38.0
kinetic,0.0,19.0,8.0,25.0,12.0,0.0,11.0,9.0,0.0,1.0,0.0,2.0,3.0,4.0,4.0,2.0
melioration,3.0,17.0,4.0,17.0,5.0,8.0,12.0,8.0,0.0,2.0,0.0,3.0,16.0,3.0,2.0,0.0
mvt,0.0,0.0,1.0,0.0,0.0,0.0,93.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
mvt_fitted_rho,0.0,0.0,2.0,0.0,0.0,0.0,3.0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
q_condition_aware,5.0,9.0,8.0,9.0,3.0,3.0,10.0,5.0,21.0,7.000000000000001,3.0,2.0,9.0,4.0,0.0,2.0
q_dual_alpha,0.0,15.0,5.0,17.0,4.0,9.0,7.000000000000001,7.000000000000001,2.0,18.0,0.0,3.0,6.0,1.0,3.0,3.0
q_dynamic_alpha,1.0,14.000000000000002,5.0,15.0,4.0,10.0,12.0,3.0,1.0,5.0,3.0,5.0,8.0,4.0,7.000000000000001,3.0
q_forgetting,0.0,12.0,3.0,16.0,3.0,8.0,10.0,6.0,1.0,2.0,0.0,16.0,14.000000000000002,5.0,4.0,0.0
q_learning,3.0,15.0,2.0,23.0,1.0,4.0,18.0,7.000000000000001,0.0,3.0,1.0,4.0,10.0,5.0,2.0,2.0
q_table_operant,1.0,18.0,4.0,14.000000000000002,2.0,7.000000000000001,9.0,12.0,2.0,1.0,0.0,2.0,3.0,22.0,2.0,1.0
q_table_operant_budget,1.0,16.0,8.0,17.0,3.0,4.0,15.0,3.0,2.0,1.0,0.0,1.0,2.0,7.000000000000001,19.0,1.0
ratio_invariance,2.0,14.000000000000002,10.0,17.0,4.0,0.0,13.0,8.0,4.0,5.0,1.0,0.0,2.0,3.0,2.0,15.0
